bucket,raw_name,event_type,description
foul_committed,Courtney,personalfoul,Courtney Williams personal foul (Kelsey Mitchell draws the foul)
foul_committed,Natisha,personalfoul,Natisha Hiedeman personal foul (Kelsey Mitchell draws the foul)
foul_committed,Natisha,shootingfoul,Natisha Hiedeman shooting foul (Shey Peddy draws the foul)
rebound,Fever,rebound,Fever offensive rebound
foul_committed,Makayla,shootingfoul,Makayla Timpson shooting foul (Jessica Shepard draws the foul)
foul_committed,Bridget,personalfoul,Bridget Carleton personal foul (Kelsey Mitchell draws the foul)
rebound,Lynx,rebound,Lynx defensive rebound
rebound,Fever,rebound,Fever defensive rebound
foul_committed,Brianna,shootingfoul,Brianna Turner shooting foul (Natisha Hiedeman draws the foul)
foul_committed,DiJonai,personalfoul,DiJonai Carrington personal foul (Odyssey Sims draws the foul)
foul_committed,Maria,shootingfoul,Maria Kliundikova shooting foul (Natasha Howard draws the foul)
foul_committed,Natasha,offensivefoul,Natasha Howard offensive foul (Charge) (DiJonai Carrington draws the foul)
rebound,Fever,rebound,Fever defensive rebound
foul_committed,DiJonai,personalfoul,DiJonai Carrington personal foul (Loose ball) (Natasha Howard draws the foul)
foul_committed,Kelsey,personalfoul,Kelsey Mitchell personal foul (Natisha Hiedeman draws the foul)
turnover,Lynx,turnover,Lynx turnover (shot clock violation)
rebound,Lynx,rebound,Lynx defensive rebound
rebound,Lynx,rebound,Lynx offensive rebound
rebound,Fever,rebound,Fever defensive rebound
rebound,Fever,rebound,Fever offensive rebound
foul_committed,Natasha,shootingfoul,Natasha Howard shooting foul (Jessica Shepard draws the foul)
rebound,Fever,rebound,Fever offensive rebound
rebound,Lynx,rebound,Lynx offensive rebound
foul_committed,Kelsey,personalfoul,Kelsey Mitchell personal foul (Loose ball) (Bridget Carleton draws the foul)
turnover,Lynx,turnover,Lynx turnover (shot clock violation)
rebound,Lynx,rebound,Lynx offensive rebound
turnover,Lynx,turnover,Lynx turnover (shot clock violation)
foul_committed,Lexie,personalfoul,Lexie Hull personal foul (Take) (Kayla McBride draws the foul)
foul_committed,Lexie,personalfoul,Lexie Hull personal foul (Take) (Kayla McBride draws the foul)
foul_committed,Elizabeth,offensivefoul,Elizabeth Williams offensive foul (Off the ball) (Jordin Canada draws the foul)
rebound,Sky,rebound,Sky offensive rebound
foul_committed,Rachel,shootingfoul,Rachel Banham shooting foul (Allisha Gray draws the foul)
rebound,Sky,rebound,Sky offensive rebound
turnover,Sky,turnover,Sky turnover (shot clock violation)
rebound,Sky,rebound,Sky defensive rebound
foul_committed,Kamilla,shootingfoul,Kamilla Cardoso shooting foul (Brionna Jones draws the foul)
foul_committed,Rebecca,shootingfoul,Rebecca Allen shooting foul (Allisha Gray draws the foul)
rebound,Sky,rebound,Sky defensive rebound
foul_committed,Shatori,shootingfoul,Shatori Walker-Kimbrough shooting foul (Kia Nurse draws the foul)
foul_committed,Rebecca,shootingfoul,Rebecca Allen shooting foul (Maya Caldwell draws the foul)
rebound,Dream,rebound,Dream offensive rebound
rebound,Dream,rebound,Dream defensive rebound
foul_committed,Brionna,personalfoul,Brionna Jones personal foul (Kamilla Cardoso draws the foul)
foul_committed,Elizabeth,personalfoul,Elizabeth Williams personal foul (Brionna Jones draws the foul)
foul_committed,Maddy,shootingfoul,Maddy Westbeld shooting foul (Allisha Gray draws the foul)
foul_committed,Nia,shootingfoul,Nia Coffey shooting foul (Kamilla Cardoso draws the foul)
rebound,Sky,rebound,Sky offensive rebound
rebound,Sky,rebound,Sky offensive rebound
foul_committed,Kamilla,shootingfoul,Kamilla Cardoso shooting foul (Brittney Griner draws the foul)
foul_committed,Brittney,personalfoul,Brittney Griner personal foul (Kamilla Cardoso draws the foul)
rebound,Dream,rebound,Dream offensive rebound
rebound,Dream,rebound,Dream offensive rebound
foul_committed,Rachel,personalfoul,Rachel Banham personal foul (Loose ball) (Brittney Griner draws the foul)
foul_committed,Jordin,personalfoul,Jordin Canada personal foul (Kia Nurse draws the foul)
foul_committed,Allisha,personalfoul,Allisha Gray personal foul (Kia Nurse draws the foul)
rebound,Sky,rebound,Sky defensive rebound
rebound,Sky,rebound,Sky offensive rebound
foul_committed,Hailey,shootingfoul,Hailey Van Lith shooting foul (Jordin Canada draws the foul)
rebound,Dream,rebound,Dream offensive rebound
foul_committed,Maddy,personalfoul,Maddy Westbeld personal foul (Loose ball) (Brionna Jones draws the foul)
rebound,Dream,rebound,Dream offensive rebound
foul_committed,Elizabeth,shootingfoul,Elizabeth Williams shooting foul (Brionna Jones draws the foul)
foul_committed,Rebecca,shootingfoul,Rebecca Allen shooting foul (Naz Hillmon draws the foul)
foul_committed,Naz,shootingfoul,Naz Hillmon shooting foul (Elizabeth Williams draws the foul)
foul_committed,Nia,shootingfoul,Nia Coffey shooting foul (Elizabeth Williams draws the foul)
rebound,Sky,rebound,Sky offensive rebound
foul_committed,Rebecca,shootingfoul,Rebecca Allen shooting foul (Te-Hina Paopao draws the foul)
rebound,Dream,rebound,Dream offensive rebound
foul_committed,Nia,personalfoul,Nia Coffey personal foul (Kamilla Cardoso draws the foul)
foul_committed,Hailey,shootingfoul,Hailey Van Lith shooting foul (Taylor Thierry draws the foul)
rebound,Dream,rebound,Dream offensive rebound
rebound,Sky,rebound,Sky offensive rebound
foul_committed,Naz,shootingfoul,Naz Hillmon shooting foul (Kamilla Cardoso draws the foul)
rebound,Sky,rebound,Sky offensive rebound
turnover,Sky,turnover,Sky turnover (shot clock violation)
foul_committed,Maddy,personalfoul,Maddy Westbeld personal foul (Shatori Walker-Kimbrough draws the foul)
foul_committed,Moriah,personalfoul,Moriah Jefferson personal foul (Nia Coffey draws the foul)
rebound,Dream,rebound,Dream offensive rebound
rebound,Sun,rebound,Sun offensive rebound
foul_committed,Janelle,personalfoul,Janelle Salaün personal foul (Aneesah Morrow draws the foul)
foul_committed,Aneesah,personalfoul,Aneesah Morrow personal foul (Janelle Salaün draws the foul)
rebound,Sun,rebound,Sun defensive rebound
rebound,Valkyries,rebound,Valkyries defensive rebound
foul_committed,Iliana,shootingfoul,Iliana Rupert shooting foul (Tina Charles draws the foul)
foul_committed,Veronica,shootingfoul,Veronica Burton shooting foul (Bria Hartley draws the foul)
rebound,Sun,rebound,Sun offensive rebound
rebound,Sun,rebound,Sun defensive rebound
foul_committed,Iliana,offensivefoul,Iliana Rupert offensive foul (Bria Hartley draws the foul)
foul_committed,Olivia,shootingfoul,Olivia Nelson-Ododa shooting foul (Tiffany Hayes draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
foul_committed,Aneesah,shootingfoul,Aneesah Morrow shooting foul (Tiffany Hayes draws the foul)
rebound,Sun,rebound,Sun offensive rebound
foul_committed,Olivia,shootingfoul,Olivia Nelson-Ododa shooting foul (Carla Leite draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
foul_committed,Laeticia,offensivefoul,Laeticia Amihere offensive foul (Lindsay Allen draws the foul)
foul_committed,Kate,shootingfoul,Kate Martin shooting foul (Tina Charles draws the foul)
foul_committed,Jacy,personalfoul,Jacy Sheldon personal foul (Tiffany Hayes draws the foul)
turnover,Valkyries,turnover,Valkyries turnover (shot clock violation)
foul_committed,Haley,offensivefoul,Haley Peters offensive foul (Veronica Burton draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
foul_committed,Rayah,personalfoul,Rayah Marshall personal foul (Loose ball) (Temi Fágbénlé draws the foul)
turnover,Valkyries,turnover,Valkyries turnover (shot clock violation)
foul_committed,Leïla,personalfoul,Leïla Lacan personal foul (Janelle Salaün draws the foul)
foul_committed,Marina,personalfoul,Marina Mabrey personal foul (Veronica Burton draws the foul)
foul_committed,Veronica,shootingfoul,Veronica Burton shooting foul (Marina Mabrey draws the foul)
foul_committed,Veronica,personalfoul,Veronica Burton personal foul (Marina Mabrey draws the foul)
foul_committed,Tiffany,personalfoul,Tiffany Hayes personal foul (Marina Mabrey draws the foul)
foul_committed,Olivia,personalfoul,Olivia Nelson-Ododa personal foul (Tiffany Hayes draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
foul_committed,Saniya,shootingfoul,Saniya Rivers shooting foul (Janelle Salaün draws the foul)
foul_committed,Kaitlyn,personalfoul,Kaitlyn Chen personal foul (Tina Charles draws the foul)
foul_committed,Kaitlyn,shootingfoul,Kaitlyn Chen shooting foul (Bria Hartley draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
foul_committed,Jacy,personalfoul,Jacy Sheldon personal foul (Away from play) (Janelle Salaün draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
rebound,Valkyries,rebound,Valkyries offensive rebound
rebound,Sun,rebound,Sun defensive rebound
foul_committed,Marina,offensivefoul,Marina Mabrey offensive foul (Cecilia Zandalasini draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
foul_committed,Temi,shootingfoul,Temi Fágbénlé shooting foul (Tina Charles draws the foul)
foul_committed,Janelle,personalfoul,Janelle Salaün personal foul (Aneesah Morrow draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
rebound,Valkyries,rebound,Valkyries defensive rebound
foul_committed,Olivia,personalfoul,Olivia Nelson-Ododa personal foul (Loose ball) (Veronica Burton draws the foul)
foul_committed,Bria,shootingfoul,Bria Hartley shooting foul (Veronica Burton draws the foul)
rebound,Sun,rebound,Sun defensive rebound
foul_committed,Janelle,personalfoul,Janelle Salaün personal foul (Loose ball) (Saniya Rivers draws the foul)
rebound,Valkyries,rebound,Valkyries defensive rebound
rebound,Sun,rebound,Sun offensive rebound
foul_committed,Aneesah,personalfoul,Aneesah Morrow personal foul (Janelle Salaün draws the foul)
rebound,Valkyries,rebound,Valkyries defensive rebound
foul_committed,Aneesah,personalfoul,Aneesah Morrow personal foul (Loose ball) (Veronica Burton draws the foul)
foul_committed,Leïla,personalfoul,Leïla Lacan personal foul (Veronica Burton draws the foul)
foul_committed,Sun,technicalfoulnonunsportsmanlike,Sun technical foul (Defensive three second)
rebound,Valkyries,rebound,Valkyries offensive rebound
foul_committed,Haley,offensivefoul,Haley Peters offensive foul (Carla Leite draws the foul)
foul_committed,Olivia,offensivefoul,Olivia Nelson-Ododa offensive foul (Iliana Rupert draws the foul)
foul_committed,Rayah,shootingfoul,Rayah Marshall shooting foul (Laeticia Amihere draws the foul)
foul_committed,Laeticia,offensivefoul,Laeticia Amihere offensive foul (Lindsay Allen draws the foul)
foul_committed,Laeticia,shootingfoul,Laeticia Amihere shooting foul (Aneesah Morrow draws the foul)
rebound,Valkyries,rebound,Valkyries offensive rebound
foul_committed,Carla,personalfoul,Carla Leite personal foul (Mamignan Touré draws the foul)
foul_committed,Aneesah,shootingfoul,Aneesah Morrow shooting foul (Laeticia Amihere draws the foul)
rebound,Wings,rebound,Wings defensive rebound
foul_committed,Myisha,offensivefoul,Myisha Hines-Allen offensive foul (Bridget Carleton draws the foul)
foul_committed,Karlie,personalfoul,Karlie Samuelson personal foul (Arike Ogunbowale draws the foul)
foul_committed,Courtney,shootingfoul,Courtney Williams shooting foul (DiJonai Carrington draws the foul)
foul_committed,NaLyssa,offensivefoul,NaLyssa Smith offensive foul (Karlie Samuelson draws the foul)
rebound,Lynx,rebound,Lynx defensive rebound
foul_committed,Paige,personalfoul,Paige Bueckers personal foul (Napheesa Collier draws the foul)
turnover,Lynx,turnover,Lynx turnover (shot clock violation)
foul_committed,Bridget,personalfoul,Bridget Carleton personal foul (Arike Ogunbowale draws the foul)
foul_committed,Paige,shootingfoul,Paige Bueckers shooting foul (Napheesa Collier draws the foul)
foul_committed,Maddy,personalfoul,Maddy Siegrist personal foul (Napheesa Collier draws the foul)
foul_committed,Tyasha,shootingfoul,Tyasha Harris shooting foul (Karlie Samuelson draws the foul)
foul_committed,Karlie,personalfoul,Karlie Samuelson personal foul (Myisha Hines-Allen draws the foul)
foul_committed,Myisha,personalfoul,Myisha Hines-Allen personal foul (Bridget Carleton draws the foul)
foul_committed,Alanna,offensivefoul,Alanna Smith offensive foul (Tyasha Harris draws the foul)
foul_committed,DiJonai,personalfoul,DiJonai Carrington personal foul (Napheesa Collier draws the foul)
foul_committed,Arike,personalfoul,Arike Ogunbowale personal foul (Alanna Smith draws the foul)
foul_committed,Jessica,shootingfoul,Jessica Shepard shooting foul (Teaira McCowan draws the foul)
rebound,Wings,rebound,Wings offensive rebound
rebound,Wings,rebound,Wings offensive rebound
turnover,Wings,turnover,Wings turnover (shot clock violation)
foul_committed,Courtney,shootingfoul,Courtney Williams shooting foul (Paige Bueckers draws the foul)
foul_committed,Karlie,personalfoul,Karlie Samuelson personal foul (Paige Bueckers draws the foul)
rebound,Wings,rebound,Wings offensive rebound
turnover,Wings,turnover,Wings turnover (shot clock violation)
foul_committed,Napheesa,shootingfoul,Napheesa Collier shooting foul (DiJonai Carrington draws the foul)
foul_committed,Diamond,personalfoul,Diamond Miller personal foul (Myisha Hines-Allen draws the foul)
foul_committed,Maddy,personalfoul,Maddy Siegrist personal foul (Napheesa Collier draws the foul)
foul_committed,DiJonai,personalfoul,DiJonai Carrington personal foul (Courtney Williams draws the foul)
foul_committed,Bridget,personalfoul,Bridget Carleton personal foul (Paige Bueckers draws the foul)
foul_committed,Paige,shootingfoul,Paige Bueckers shooting foul (Napheesa Collier draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
rebound,Wings,rebound,Wings defensive rebound
foul_committed,Karlie,personalfoul,Karlie Samuelson personal foul (Loose ball) (Paige Bueckers draws the foul)
rebound,Wings,rebound,Wings defensive rebound
foul_committed,Arike,personalfoul,Arike Ogunbowale personal foul (Natisha Hiedeman draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
foul_committed,Tyasha,shootingfoul,Tyasha Harris shooting foul (Natisha Hiedeman draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
foul_committed,Kaila,personalfoul,Kaila Charles personal foul (Courtney Williams draws the foul)
foul_committed,Paige,shootingfoul,Paige Bueckers shooting foul (Alanna Smith draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
foul_committed,Bridget,personalfoul,Bridget Carleton personal foul (Away from play) (NaLyssa Smith draws the foul)
foul_committed,Myisha,shootingfoul,Myisha Hines-Allen shooting foul (Napheesa Collier draws the foul)
rebound,Wings,rebound,Wings defensive rebound
rebound,Wings,rebound,Wings offensive rebound
turnover,Wings,turnover,Wings turnover (shot clock violation)
foul_committed,DiJonai,personalfoul,DiJonai Carrington personal foul (Courtney Williams draws the foul)
foul_committed,Arike,personalfoul,Arike Ogunbowale personal foul (Natisha Hiedeman draws the foul)
foul_committed,Courtney,shootingfoul,Courtney Williams shooting foul (Myisha Hines-Allen draws the foul)
turnover,Lynx,turnover,Lynx turnover (5-second violation)
foul_committed,Napheesa,shootingfoul,Napheesa Collier shooting foul (Myisha Hines-Allen draws the foul)
foul_committed,Myisha,shootingfoul,Myisha Hines-Allen shooting foul (Napheesa Collier draws the foul)
foul_committed,Arike,personalfoul,Arike Ogunbowale personal foul (Napheesa Collier draws the foul)
foul_committed,Sabrina,shootingfoul,Sabrina Ionescu shooting foul (Napheesa Collier draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
foul_committed,Kayla,shootingfoul,Kayla McBride shooting foul (Stephanie Talbot draws the foul)
rebound,Liberty,rebound,Liberty offensive rebound
foul_committed,Jonquel,personalfoul,Jonquel Jones personal foul (Kayla McBride draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
foul_committed,Natasha,personalfoul,Natasha Cloud personal foul (Loose ball) (Jessica Shepard draws the foul)
foul_committed,Isabelle,shootingfoul,Isabelle Harrison shooting foul (Bridget Carleton draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
rebound,Liberty,rebound,Liberty offensive rebound
foul_committed,Napheesa,shootingfoul,Napheesa Collier shooting foul (Natasha Cloud draws the foul)
rebound,Liberty,rebound,Liberty offensive rebound
foul_committed,Leonie,shootingfoul,Leonie Fiebich shooting foul (Napheesa Collier draws the foul)
foul_committed,Kayla,personalfoul,Kayla McBride personal foul (Sabrina Ionescu draws the foul)
foul_committed,Napheesa,personalfoul,Napheesa Collier personal foul (Leonie Fiebich draws the foul)
foul_committed,Leonie,personalfoul,Leonie Fiebich personal foul (Napheesa Collier draws the foul)
foul_committed,Leonie,shootingfoul,Leonie Fiebich shooting foul (Napheesa Collier draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
foul_committed,Jonquel,personalfoul,Jonquel Jones personal foul (Napheesa Collier draws the foul)
foul_committed,Bridget,personalfoul,Bridget Carleton personal foul (Marine Johannès draws the foul)
rebound,Liberty,rebound,Liberty offensive rebound
foul_committed,Alanna,shootingfoul,Alanna Smith shooting foul (Leonie Fiebich draws the foul)
foul_committed,Marine,shootingfoul,Marine Johannès shooting foul (Courtney Williams draws the foul)
rebound,Lynx,rebound,Lynx offensive rebound
foul_committed,Alanna,personalfoul,Alanna Smith personal foul (Leonie Fiebich draws the foul)
foul_committed,Stephanie,personalfoul,Stephanie Talbot personal foul (Alanna Smith draws the foul)
foul_committed,Kayla,personalfoul,Kayla McBride personal foul (Sabrina Ionescu draws the foul)
foul_committed,Natisha,shootingfoul,Natisha Hiedeman shooting foul (Sabrina Ionescu draws the foul)
turnover,Lynx,turnover,Lynx turnover (shot clock violation)
rebound,Lynx,rebound,Lynx offensive rebound
rebound,Lynx,rebound,Lynx defensive rebound
foul_committed,Diamond,shootingfoul,Diamond Miller shooting foul (Isabelle Harrison draws the foul)
foul_committed,Natisha,shootingfoul,Natisha Hiedeman shooting foul (Sabrina Ionescu draws the foul)
rebound,Liberty,rebound,Liberty offensive rebound
